Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,time_data_used,loss_ode
0,0.999,0.001,0,0.000987,0.9982019662857056,0.0017980405827984214,0,0.000357395620085299,0.5846728086471558,0.6000000000000001,0,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001433,0.9975342617603019,0.0021061410661786795,0.0003596081165596843,0.00025499938055872917,0.5846728086471558,0.6000000000000001,0,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.00224,0.99659983755555,0.002619336359202862,0.0007808363297954202,0.00019517513283062726,0.5846728086471558,0.6000000000000001,0,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.003405,0.995241743675433,0.003453577868640423,0.0013047036016359927,0.00015781140245962888,0.5846728086471558,0.6000000000000001,0,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.004876,0.9931932938983664,0.0048112571239471436,0.0019954191753640774,0.0001331661915173754,0.5846728086471558,0.6000000000000001,0,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.007267,0.9900216175010428,0.007020685356110334,0.0029576706001535062,0.00011616598931141198,0.5846728086471558,0.6000000000000001,0,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.010877,0.9850879913894459,0.010550174862146378,0.004361807671375574,0.00010399732127552852,0.5846728086471558,0.6000000000000001,0,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.016036,0.9775790272979066,0.01594913750886917,0.00647184264380485,9.50154208112508e-05,0.5846728086471558,0.6000000000000001,0,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.023356,0.9665802164701744,0.023758096620440483,0.009661670145578685,8.821228402666748e-05,0.5846728086471558,0.6000000000000001,0,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.03386,0.9510547595797106,0.03453193977475166,0.014413289469666782,8.294537110486999e-05,0.5846728086471558,0.6000000000000001,0,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.048772,0.930189977097325,0.048490360379219055,0.021319677424617114,0.15744997560977936,0.5846728086471558,0.6000000000000001,0.15897072108431393,1521.0208246707916,481.5556848049164,6.0055613745700096e-06
11,0.8964529854147674,0.05889594531398788,0.0446510692712449,0.058553,0.9046718385863166,0.057839445769786835,0.03748870819331594,0.16241000592708588,0.5698223114013672,0.6000000000000001,0.15897072108431393,0,0,0
12,0.8625407460194247,0.06973626131790488,0.06772299266267065,0.070115,0.8723267368538205,0.06942189484834671,0.058251375748413395,0.15718461573123932,0.5698223114013672,0.6000000000000001,0.15897072108431393,0,0,0
13,0.8244491729113308,0.08080518383899177,0.09474564324967748,0.080665,0.8365999871032918,0.08022823929786682,0.08317180340116384,0.1602710485458374,0.5698223114013672,0.6000000000000001,0.15897072108431393,0,0,0
14,0.782901666777336,0.09141636679972602,0.125681966422938,0.09183,0.7979174116456489,0.09011119604110718,0.11197139231324399,0.16032318770885468,0.5698223114013672,0.6000000000000001,0.15897072108431393,0,0,0
15,0.7389736305754291,0.10079655372442309,0.16022981570014763,0.101083,0.756625201978915,0.09905609488487244,0.1443186733338902,0.23346178233623505,0.5698223114013672,0.6000000000000001,0.250358816708311,1527.8396694660187,479.98312735557556,1.0458628578685296e-05
16,0.6959360379837282,0.09879489183171798,0.20526907018455345,0.098482,0.7030143195297471,0.09892544150352478,0.19806020916440573,0.23184631764888763,0.5516870617866516,0.6000000000000001,0.250358816708311,0,0,0
17,0.6566653030422365,0.0944684068623057,0.2488662900954575,0.094935,0.6634962254217333,0.09389163553714752,0.2426121539422804,0.23412774503231049,0.5516870617866516,0.6000000000000001,0.250358816708311,0,0,0
18,0.6215752358903438,0.0883374947275791,0.2900872693820763,0.08828,0.6282221766748313,0.08688073605298996,0.2848970798215982,0.0078324805945158,0.5516870617866516,0.6000000000000001,0.250358816708311,0,0,0
19,0.5907619310220316,0.08098748812384814,0.3282505808541198,0.081129,0.5967246021643127,0.07925081998109818,0.3240245853051698,0.004880206659436226,0.5516870617866516,0.6000000000000001,0.250358816708311,0,0,0
20,0.5640838375536454,0.07298025355969111,0.3629359088866629,0.072902,0.5677659989097109,0.07251811772584915,0.35971589081502053,0.05165312811732292,0.5516870617866516,0.6000000000000001,0.05100088719721223,1526.8564994335175,482.4821445941925,4.080045965311885e-05
21,0.5389158624692272,0.07905399573539539,0.3820301417953773,0.079089,0.5454733910584909,0.07535583525896072,0.37917078113312896,0.051236771047115326,0.6068705916404724,0.6000000000000001,0.05100088719721223,0,0,0
22,0.5131137071010115,0.08433181824909101,0.4025544746498977,0.08458,0.5194707059870258,0.08244415372610092,0.3980851626386151,0.050343696027994156,0.6068705916404724,0.6000000000000001,0.05100088719721223,0,0,0
