Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,time_data_used,loss_ode
0,0.999,0.001,0,0.000987,0.9981375932693481,0.001862423145212233,0,0.0005437305662781,0.5846248865127563,0.6000000000000001,0,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001433,0.9975493994308635,0.0020781108178198338,0.0003724846290424466,0.0003528576635289937,0.5846248865127563,0.6000000000000001,0,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.00224,0.996705100662075,0.002506788820028305,0.0007881067926064135,0.0002484344004187733,0.5846248865127563,0.6000000000000001,0,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.003405,0.9954472407465801,0.0032632730435580015,0.0012894645566120745,0.00018678451306186616,0.5846248865127563,0.6000000000000001,0,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.004876,0.9935063509503379,0.004551509860903025,0.0019421191653236749,0.00014799671771470457,0.5846248865127563,0.6000000000000001,0,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.007267,0.9904422947438434,0.006705295294523239,0.0028524211375042796,0.00012226782564539462,0.5846248865127563,0.6000000000000001,0,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.010877,0.9855907009216025,0.010215826332569122,0.004193480196408928,0.00010443387873237953,0.5846248865127563,0.6000000000000001,0,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.016036,0.9780686767073348,0.015694689005613327,0.006236645462922752,9.161046182271093e-05,0.5846248865127563,0.6000000000000001,0,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.023356,0.9669124373467639,0.023712001740932465,0.009375583264045417,8.210153464460745e-05,0.5846248865127563,0.6000000000000001,0,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.03386,0.9513593637617305,0.03452267497777939,0.014117983612231912,7.486472168238834e-05,0.5846248865127563,0.6000000000000001,0,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.048772,0.9311380186351016,0.04783947765827179,0.02102251860778779,0.1550038903951645,0.5846248865127563,0.6000000000000001,0.15897072108431393,1531.3330931663513,481.09460735321045,0.0030965670475647422
11,0.8964529854147674,0.05889594531398788,0.0446510692712449,0.058553,0.9032877491043212,0.05877067148685455,0.037941594309985435,0.15976066887378693,0.5925690531730652,0.6000000000000001,0.15897072108431393,0,0,0
12,0.8625407460194247,0.06973626131790488,0.06772299266267065,0.070115,0.8704743137585772,0.07048715651035309,0.059038544632230947,0.16017216444015503,0.5925690531730652,0.6000000000000001,0.15897072108431393,0,0,0
