Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,time_data_used,loss_ode
0,0.999,0.001,0,0.000987,0.9984470009803772,0.001553023001179099,0,0.00042177323484793305,0.5883181095123291,0.6000000000000001,0,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001433,0.9977837156970054,0.001905673067085445,0.00031060460023581984,0.0002757537586148828,0.5883181095123291,0.6000000000000001,0,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.00224,0.996846708166413,0.0024615502916276455,0.0006917392136529089,0.0001998596271732822,0.5883181095123291,0.6000000000000001,0,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.003405,0.9954730838304385,0.003342851297929883,0.001184049271978438,0.00015629277913831174,0.5883181095123291,0.6000000000000001,0,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.004876,0.9933990360470488,0.004748339764773846,0.0018526195315644147,0.00012927087664138526,0.5883181095123291,0.6000000000000001,0,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.007267,0.990209663962014,0.006988028064370155,0.002802287484519184,0.00011146129691042006,0.5883181095123291,0.6000000000000001,0,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.010877,0.9852891258196905,0.01051097922027111,0.004199893097393215,9.914318798109889e-05,0.5883181095123291,0.6000000000000001,0,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.016036,0.9778037364827469,0.015894148498773575,0.0063020889414474365,9.028633940033615e-05,0.5883181095123291,0.6000000000000001,0,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.023356,0.9667682397412136,0.023750828579068184,0.009480918641202152,8.371369040105492e-05,0.5883181095123291,0.6000000000000001,0,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.03386,0.9512142553227022,0.03455464914441109,0.01423108435701579,7.870673289289698e-05,0.5883181095123291,0.6000000000000001,0,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.048772,0.9303991711931303,0.048458829522132874,0.021142014185898006,0.15887068212032318,0.5883181095123291,0.6000000000000001,0.15897072108431393,1555.126966714859,480.4285786151886,3.2891439928188905e-08
11,0.8964529854147674,0.05889594531398788,0.0446510692712449,0.058553,0.9013621213068941,0.05993200093507767,0.038705885208608896,0.15910224616527557,0.5706908702850342,0.6000000000000001,0.15897072108431393,0,0,0
12,0.8625407460194247,0.06973626131790488,0.06772299266267065,0.070115,0.8678666216270992,0.07191365212202072,0.0602197188002995,0.15981030464172363,0.5706908702850342,0.6000000000000001,0.15897072108431393,0,0,0
13,0.8244491729113308,0.08080518383899177,0.09474564324967748,0.080665,0.8309153134485064,0.08305004984140396,0.08603461435834778,0.15951287746429443,0.5706908702850342,0.6000000000000001,0.15897072108431393,0,0,0
14,0.782901666777336,0.09141636679972602,0.125681966422938,0.09183,0.7909826237437254,0.09317024797201157,0.11584715063600477,0.16080081462860107,0.5706908702850342,0.6000000000000001,0.15897072108431393,0,0,0
15,0.7389736305754291,0.10079655372442309,0.16022981570014763,0.101083,0.7484435904108059,0.10226385295391083,0.1492925417341221,0.24648252129554749,0.5706908702850342,0.6000000000000001,0.250358816708311,1514.3677220344543,480.0033321380615,0.00017795166509762365
16,0.6959360379837282,0.09879489183171798,0.20526907018455345,0.098482,0.7060051769599354,0.09870204329490662,0.19529274994283563,0.24646976590156555,0.6073692440986633,0.6000000000000001,0.250358816708311,0,0,0
17,0.6566653030422365,0.0944684068623057,0.2488662900954575,0.094935,0.6672020968831542,0.09305379539728165,0.23974408536782227,0.24637877941131592,0.6073692440986633,0.6000000000000001,0.250358816708311,0,0,0
18,0.6215752358903438,0.0883374947275791,0.2900872693820763,0.08828,0.6328179767753014,0.0855303481221199,0.2816516825531593,0.2501356601715088,0.6073692440986633,0.6000000000000001,0.250358816708311,0,0,0
19,0.5907619310220316,0.08098748812384814,0.3282505808541198,0.081129,0.6017874175765985,0.07804156094789505,0.3201710289260871,0.2510160505771637,0.6073692440986633,0.6000000000000001,0.250358816708311,0,0,0
20,0.5640838375536454,0.07298025355969111,0.3629359088866629,0.072902,0.5729043262349016,0.07177792489528656,0.3553177339686507,0.05182550102472305,0.6073692440986633,0.6000000000000001,0.05100088719721223,1536.5034487247467,475.80612564086914,0.0354763157161209
21,0.5389158624692272,0.07905399573539539,0.3820301417953773,0.079089,0.5497394470194201,0.07770060002803802,0.37255993805138066,0.04782859608530998,0.591330349445343,0.6000000000000001,0.05100088719721223,0,0,0
22,0.5131137071010115,0.08433181824909101,0.4025544746498977,0.08458,0.5243131966927829,0.08362395316362381,0.3920628575941739,0.05185319855809212,0.591330349445343,0.6000000000000001,0.05100088719721223,0,0,0
23,0.48714842224976346,0.08857355481830471,0.4242780229319322,0.088484,0.4985963254852837,0.08835116028785706,0.4130525440291816,0.05409315973520279,0.591330349445343,0.6000000000000001,0.05100088719721223,0,0,0
24,0.46148675202156214,0.09159683355650984,0.4469164144219283,0.091276,0.4735267772014415,0.09124445170164108,0.43522876364633684,0.04755356162786484,0.591330349445343,0.6000000000000001,0.05100088719721223,0,0,0
25,0.4365566787212992,0.0932946345110225,0.4701486867676787,0.093324,0.44894485879667023,0.09292392432689667,0.4581312019752719,0.1499357968568802,0.591330349445343,0.6000000000000001,0.15294548278667783,1503.9795625209808,478.89556550979614,6.188058020955898e-05
26,0.41386347807382784,0.08458620682148293,0.5015503151046896,0.084853,0.42917495016266227,0.08592795580625534,0.4848970865805018,0.15715615451335907,0.5912240147590637,0.6000000000000001,0.15294548278667783,0,0,0
27,0.39443090868715824,0.0757288845225208,0.5298402067903214,0.076085,0.40837099448118697,0.07640401273965836,0.5152249704274129,0.15918810665607452,0.5912240147590637,0.6000000000000001,0.15294548278667783,0,0,0
28,0.3778966560003508,0.06707265737206529,0.5550306866275841,0.067799,0.39223405162254477,0.0655745267868042,0.542191421590651,0.16048234701156616,0.5912240147590637,0.6000000000000001,0.15294548278667783,0,0,0
29,0.36389546244411847,0.05886523217623612,0.5772393053796456,0.059325,0.3770391708716725,0.057625144720077515,0.5653356546059276,0.14371713995933533,0.5912240147590637,0.6000000000000001,0.15294548278667783,0,0,0
30,0.3520808729094774,0.051264408880356556,0.5966547182101664,0.051285,0.36131153245832726,0.05301425978541374,0.5856741891298075,0.37467601895332336,0.5912240147590637,0.6000000000000001,0.40000000857527584,1489.9978141784668,481.72364687919617,9.355362772717737e-06
31,0.3432292569792238,0.034653754326152454,0.6221169886946242,0.034838,0.33129926134889165,0.04088127985596657,0.6278194625204321,0.42858242988586426,0.6098856925964355,0.6000000000000001,0.40000000857527584,0,0,0
32,0.33738478680010076,0.02332370605667875,0.6392915071432211,0.02318,0.32116757779772565,0.026484213769435883,0.6523482307845803,0.4264034926891327,0.6098856925964355,0.6000000000000001,0.40000000857527584,0,0,0
33,0.3335128539275688,0.015652972681672653,0.650834173390759,0.015494,0.31506949639910364,0.016691723838448524,0.6682387592733512,0.4066977798938751,0.6098856925964355,0.6000000000000001,0.40000000857527584,0,0,0
34,0.33094172442164865,0.01048499905819806,0.658573276520154,0.010434,0.30988202094719164,0.011864212341606617,0.6782537937195564,0.33017706871032715,0.6098856925964355,0.6000000000000001,0.40000000857527584,0,0,0
35,0.32923166912075374,0.007014415674305212,0.6637539152049419,0.006939,0.3053902105310955,0.009237458929419518,0.6853723212262592,0.3990388512611389,0.6098856925964355,0.6000000000000001,0.4000000077960085,1531.8902187347412,476.64233779907227,0.025773897988986553
36,0.3280930689696254,0.0046886647804395,0.6672182662499357,0.004542,0.3171684057656896,0.004291770979762077,0.6785398213919032,0.3994717597961426,0.6000242233276367,0.6000000000000001,0.4000000077960085,0,0,0
37,0.32733440381067547,0.0031323038105465864,0.6695332923787786,0.003104,0.3159685415086315,0.0029165903106331825,0.6811148840132191,0.40163907408714294,0.6000242233276367,0.6000000000000001,0.4000000077960085,0,0,0
38,0.32682864554323987,0.0020917852056382955,0.6710795692511223,0.00199,0.31501311721436975,0.0021220329217612743,0.6828648382223368,0.40827080607414246,0.6000242233276367,0.6000000000000001,0.4000000077960085,0,0,0
39,0.3264913738539315,0.0013965710085933052,0.6721120551374759,0.001375,0.3142123834639041,0.0016495779855176806,0.6841380579919369,0.3932860195636749,0.6000242233276367,0.6000000000000001,0.4000000077960085,0,0,0
