Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,time_data_used,loss_ode
0,0.999,0.001,0.0,0.0009,0.9990784525871277,0.001793628092855215,-0.0008720755577087402,0.0003854020906146616,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.0013,0.9982039928436279,0.0021006411407142878,-0.0003046393394470215,0.00027612235862761736,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.002,0.9970860481262207,0.002586651360616088,0.0003272891044616699,0.0002122420264640823,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.0037,0.9955865144729614,0.0033683425281196833,0.0010451674461364746,0.00017227153875865042,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.0055,0.9934467077255249,0.0046446667984128,0.0019086003303527832,0.0001458335027564317,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.0073,0.9902631640434265,0.006734886672347784,0.0030019283294677734,0.00012753205373883247,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.0102,0.9854056239128113,0.010093102231621742,0.004501283168792725,0.00011437829380156472,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.0157,0.9780282974243164,0.015246417373418808,0.006725311279296875,0.00010462435602676123,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.0234,0.9671635031700134,0.022632531821727753,0.010203957557678223,9.719907393446192e-05,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.0318,0.9519338607788086,0.03240908682346344,0.01565706729888916,9.14192569325678e-05,0.5686632990837097,0.6000000000000001,0.0,0.0,0.0,0.0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.0458,0.9318264722824097,0.0443606898188591,0.023812830448150635,0.1305893510580063,0.5686632990837097,0.6000000000000001,0.12973083748250586,1507.977730512619,467.0912444591522,0.002104367698850179
11,0.8960133352145964,0.06063827568784726,0.043348389097556825,0.0571,0.8889651298522949,0.05826530605554581,0.05276954174041748,0.12984336912631989,0.6005698442459106,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
12,0.8606249411731404,0.07388166978822475,0.06549338903863533,0.0778,0.8521953821182251,0.07344136387109756,0.07436323165893555,0.1302029937505722,0.6005698442459106,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
13,0.8198520280753836,0.08798214521847571,0.092165826706141,0.0865,0.8092641234397888,0.08878987282514572,0.10194599628448486,0.1300038844347,0.6005698442459106,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
14,0.7743907805398552,0.102093009986938,0.12351620947320696,0.1065,0.7609437108039856,0.10361411422491074,0.13544219732284546,0.1286255270242691,0.6005698442459106,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
15,0.7254719078139573,0.11515131161263899,0.15937678057340396,0.1182,0.7149237990379333,0.11744768917560577,0.16762852668762207,0.38359013199806213,0.6005698442459106,0.6000000000000001,0.3830229510055077,1485.2082030773163,464.3179569244385,0.044858286764763854
16,0.6805393651700226,0.09795623964196538,0.22150439518801232,0.0948,0.691464900970459,0.10054401308298111,0.20799106359481812,0.3844671845436096,0.6297033429145813,0.6000000000000001,0.3830229510055077,0.0,0.0,0.0
17,0.644937670093098,0.0813462685634371,0.27371606134346493,0.0857,0.649669349193573,0.08284030109643936,0.26749032735824585,0.3815291225910187,0.6297033429145813,0.6000000000000001,0.3830229510055077,0.0,0.0,0.0
18,0.6170545002643586,0.06628362819578013,0.3166618715398612,0.0658,0.6177321076393127,0.06651782989501953,0.3157500624656677,0.38420262932777405,0.6297033429145813,0.6000000000000001,0.3830229510055077,0.0,0.0,0.0
