Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,time_data_used,loss_ode
0,0.999,0.001,0.0,0.0009,0.9988654851913452,0.001776941935531795,-0.0006424188613891602,0.0003744624264072627,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.0013,0.9979965686798096,0.002092716982588172,-8.928775787353516e-05,0.0002565415343269706,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.002,0.9968731999397278,0.0026119842659682035,0.0005148053169250488,0.00018733921751845628,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.0037,0.9953389763832092,0.0034502213820815086,0.0012108087539672852,0.0001442117354599759,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.0055,0.9931303858757019,0.00480402447283268,0.002065598964691162,0.00011592475493671373,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.0073,0.9898451566696167,0.006989374291151762,0.0031654834747314453,9.6550487796776e-05,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.0102,0.9848504066467285,0.010465243831276894,0.004684329032897949,8.278400491690263e-05,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.0157,0.9772601127624512,0.015787530690431595,0.006952345371246338,7.26922953617759e-05,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.0234,0.9660505056381226,0.023430583998560905,0.010518908500671387,6.509474042104557e-05,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.0318,0.9503470659255981,0.03350498527288437,0.016147971153259277,5.924305150983855e-05,0.5653839111328125,0.6000000000000001,0.0,0.0,0.0,0.0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.0458,0.9298272132873535,0.04556126147508621,0.02461153268814087,0.12376996874809265,0.5653839111328125,0.6000000000000001,0.12973083748250586,1518.6488575935364,466.24622797966003,0.0029327501769145464
11,0.8960133352145964,0.06063827568784726,0.043348389097556825,0.0571,0.8858253359794617,0.06110990419983864,0.05306476354598999,0.13077780604362488,0.6052993535995483,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
12,0.8606249411731404,0.07388166978822475,0.06549338903863533,0.0778,0.847567081451416,0.07664506882429123,0.07578784227371216,0.13170108199119568,0.6052993535995483,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
13,0.8198520280753836,0.08798214521847571,0.092165826706141,0.0865,0.8034484386444092,0.09194792807102203,0.10460364818572998,0.13145752251148224,0.6052993535995483,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
14,0.7743907805398552,0.102093009986938,0.12351620947320696,0.1065,0.7547765970230103,0.10646282136440277,0.13876056671142578,0.12189647555351257,0.6052993535995483,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
15,0.7254719078139573,0.11515131161263899,0.15937678057340396,0.1182,0.7072202563285828,0.11995000392198563,0.1728297472000122,0.3837817311286926,0.6052993535995483,0.6000000000000001,0.3830229510055077,1597.111200094223,468.4617831707001,0.03199724855192564
16,0.6805393651700226,0.09795623964196538,0.22150439518801232,0.0948,0.6615315675735474,0.09907779097557068,0.23939061164855957,0.38586512207984924,0.646278977394104,0.6000000000000001,0.3830229510055077,0.0,0.0,0.0
17,0.644937670093098,0.0813462685634371,0.27371606134346493,0.0857,0.6223204135894775,0.0829688236117363,0.29471075534820557,0.3855142891407013,0.646278977394104,0.6000000000000001,0.3830229510055077,0.0,0.0,0.0
18,0.6170545002643586,0.06628362819578013,0.3166618715398612,0.0658,0.5899817943572998,0.06894128769636154,0.34107691049575806,0.38602715730667114,0.646278977394104,0.6000000000000001,0.3830229510055077,0.0,0.0,0.0
19,0.5953871889700519,0.05321690995531869,0.3513959010746296,0.0544,0.564583420753479,0.0553579106926918,0.3800586462020874,0.3983021080493927,0.646278977394104,0.6000000000000001,0.3830229510055077,0.0,0.0,0.0
20,0.5786385704482048,0.042239005064232976,0.3791224244875622,0.0416,0.5514046549797058,0.04449113458395004,0.40410423278808594,0.0025430130772292614,0.646278977394104,0.6000000000000001,-9.982983108121981e-09,1489.0721864700317,464.46844029426575,0.14676291360379784
21,0.5630775560554203,0.04871311727730326,0.3882093266672764,0.049,0.5261315703392029,0.04873887076973915,0.4251295328140259,0.0005125998286530375,0.6481360197067261,0.6000000000000001,-9.982983108121981e-09,0.0,0.0,0.0
22,0.5457352278322486,0.055627624728192875,0.3986371474395585,0.0577,0.508104145526886,0.056255873292684555,0.43563997745513916,0.0003695466439239681,0.6481360197067261,0.6000000000000001,-9.982983108121981e-09,0.0,0.0,0.0
23,0.5266865813592143,0.06283350966753155,0.4104799089732543,0.0621,0.4881467819213867,0.06372138112783432,0.44813185930252075,0.00032708654180169106,0.6481360197067261,0.6000000000000001,-9.982983108121981e-09,0.0,0.0,0.0
24,0.5060901085517318,0.07013301175907441,0.423776879689194,0.0673,0.4673418402671814,0.07027467340230942,0.462383508682251,0.00031324621522799134,0.6481360197067261,0.6000000000000001,-9.982983108121981e-09,0.0,0.0,0.0
25,0.48418875197980493,0.07728773433244324,0.4385235136877519,0.0776,0.44617703557014465,0.07602954655885696,0.477793425321579,0.05158333107829094,0.6481360197067261,0.6000000000000001,0.08278530517671945,1488.5417649745941,465.519330739975,0.16588035393676764
26,0.46221304828726156,0.07737167249923539,0.4604152792135031,0.0799,0.4562103748321533,0.07968208938837051,0.4641075134277344,0.060422562062740326,0.6256175637245178,0.6000000000000001,0.08278530517671945,0.0,0.0,0.0
27,0.4413450586663936,0.07646570708084138,0.48218923425276494,0.0801,0.432049959897995,0.08132869750261307,0.48662135004997253,0.064848393201828,0.6256175637245178,0.6000000000000001,0.08278530517671945,0.0,0.0,0.0
28,0.42176467851018934,0.07465832797674578,0.5035769935130648,0.0823,0.41019606590270996,0.07999759167432785,0.5098063349723816,0.06704815477132797,0.6256175637245178,0.6000000000000001,0.08278530517671945,0.0,0.0,0.0
29,0.4035873092656338,0.0720723283019096,0.5243403624324562,0.0771,0.3918827176094055,0.07575265318155289,0.5323646068572998,0.0681641474366188,0.6256175637245178,0.6000000000000001,0.08278530517671945,0.0,0.0,0.0
30,0.38686963831649396,0.06885123647315843,0.544279125210347,0.0691,0.3760957419872284,0.07020092755556107,0.5537033081054688,0.3893992602825165,0.6256175637245178,0.6000000000000001,0.4000000079323774,1615.9864468574524,469.69206142425537,7.697495762009085e-07
31,0.37374329650832927,0.047459004256014604,0.5787976992356556,0.0496,0.352098673582077,0.049126334488391876,0.5987750291824341,0.40274953842163086,0.6315969824790955,0.6000000000000001,0.4000000079323774,0.0,0.0,0.0
32,0.3649837660442242,0.03250224143193117,0.6025139925238443,0.0308,0.34142568707466125,0.030617710202932358,0.6279566287994385,0.40625348687171936,0.6315969824790955,0.6000000000000001,0.4000000079323774,0.0,0.0,0.0
33,0.35911620512277037,0.022162965682581724,0.6187208291946478,0.0202,0.333408385515213,0.02009422518312931,0.646497368812561,0.41605448722839355,0.6315969824790955,0.6000000000000001,0.4000000079323774,0.0,0.0,0.0
34,0.35517506568557844,0.015068894380180423,0.6297560399342408,0.0144,0.32708072662353516,0.014097804203629494,0.6588214635848999,0.3761789798736572,0.6315969824790955,0.6000000000000001,0.4000000079323774,0.0,0.0,0.0
35,0.3525227493564215,0.010225560454012975,0.6372516901895652,0.0093,0.32311952114105225,0.010405872948467731,0.6664745807647705,0.37900474667549133,0.6315969824790955,0.6000000000000001,0.36975163581785747,1503.878580570221,470.20635771751404,0.0004650054802011101
36,0.35070993741382056,0.007142622348735089,0.642147440237444,0.0053,0.321391224861145,0.006193680223077536,0.6724150776863098,0.3719005584716797,0.6498972773551941,0.6000000000000001,0.36975163581785747,0.0,0.0,0.0
37,0.3494497881805603,0.004984630898965244,0.645565580920474,0.0046,0.3199921250343323,0.00452262070029974,0.6754852533340454,0.36762797832489014,0.6498972773551941,0.6000000000000001,0.36975163581785747,0.0,0.0,0.0
38,0.34857333039917576,0.003476431154131606,0.6479502384466922,0.0036,0.3189162611961365,0.0035422644577920437,0.6775414943695068,0.36822447180747986,0.6498972773551941,0.6000000000000001,0.36975163581785747,0.0,0.0,0.0
39,0.34796350057688546,0.0024235022199392588,0.6496129972031749,0.002,0.31806352734565735,0.0029473172035068274,0.6789891719818115,0.3674575388431549,0.6498972773551941,0.6000000000000001,0.36975163581785747,0.0,0.0,0.0
40,0.34753907171187826,0.0016889649457317297,0.6507719633423895,0.002,0.31736528873443604,0.002571703167632222,0.680063009262085,0.006465122569352388,0.6498972773551941,0.6000000000000001,0.0,0.0,0.0,0.0
41,0.3471855772523973,0.0017032405543630316,0.651111182193239,0.0026,0.31677424907684326,0.002325886394828558,0.6808998584747314,0.003122894326224923,0.6498972773551941,0.6000000000000001,0.0,0.0,0.0,0.0
42,0.34682949695515247,0.0017172712747228849,0.651453231770124,0.0017,0.3162570893764496,0.0021603035274893045,0.6815825700759888,0.0021545805502682924,0.6498972773551941,0.6000000000000001,0.0,0.0,0.0,0.0
43,0.34647089153068905,0.001731046436652082,0.6517980620326582,0.0024,0.31579023599624634,0.002046411158517003,0.6821633577346802,0.001766625209711492,0.6498972773551941,0.6000000000000001,0.0,0.0,0.0,0.0
44,0.34610982373756805,0.0017445554487486956,0.6521456208136825,0.002,0.31535646319389343,0.001967058517038822,0.6826764345169067,0.001588138286024332,0.6498972773551941,0.6000000000000001,0.0,0.0,0.0,0.0
