Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,time_data_used,loss_ode
0,0.999,0.001,0.0,0.0009,0.9980263710021973,0.001722014625556767,0.00025159120559692383,0.0005911613116040826,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.0013,0.9976853728294373,0.0020433703903108835,0.00027126073837280273,0.0003907480277121067,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.002,0.9967247247695923,0.002569365780800581,0.0007058978080749512,0.00028299482073634863,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.0037,0.9952465891838074,0.00341480178758502,0.0013386011123657227,0.00021986824867781252,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.0055,0.9933724403381348,0.004772601183503866,0.0018549561500549316,0.0001802341139409691,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.0073,0.9901747703552246,0.006948090624064207,0.0028771162033081055,0.0001539193617645651,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.0102,0.9853640794754028,0.010380209423601627,0.004255712032318115,0.00013563636457547545,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.0157,0.9778494238853455,0.015606934204697609,0.006543636322021484,0.00012245394464116544,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.0234,0.9672912359237671,0.023127568885684013,0.009581208229064941,0.00011265323701081797,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.0318,0.9524244666099548,0.033176008611917496,0.014399528503417969,0.00010517843475099653,0.5694983601570129,0.6000000000000001,0.0,0.0,0.0,0.0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.0458,0.9334083199501038,0.04553237557411194,0.02105933427810669,0.1293455809354782,0.5694983601570129,0.6000000000000001,0.12973083748250586,1473.1772093772888,464.5997760295868,5.218349453717562e-07
11,0.8960133352145964,0.06063827568784726,0.043348389097556825,0.0571,0.8858612179756165,0.058808207511901855,0.05533057451248169,0.13007135689258575,0.5983788371086121,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
12,0.8606249411731404,0.07388166978822475,0.06549338903863533,0.0778,0.8485698699951172,0.07433713972568512,0.07709300518035889,0.12835027277469635,0.5983788371086121,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
13,0.8198520280753836,0.08798214521847571,0.092165826706141,0.0865,0.8050937056541443,0.08982648700475693,0.10507982969284058,0.13005530834197998,0.5983788371086121,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
14,0.7743907805398552,0.102093009986938,0.12351620947320696,0.1065,0.7565186023712158,0.10440047830343246,0.1390809416770935,0.12923915684223175,0.5983788371086121,0.6000000000000001,0.12973083748250586,0.0,0.0,0.0
