Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0.000987,0.9759718179702759,0.0009883289458230138,0.02303987741470337,6.910513548064046e-07,0.6154292225837708,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001433,0.9752380847930908,0.001478794147260487,0.02328312397003174,6.593725174752763e-07,0.6154292225837708,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.00224,0.9741341471672058,0.00221969373524189,0.023646175861358643,6.359298367897281e-07,0.6154292225837708,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.003405,0.9724903702735901,0.003315600799396634,0.024194002151489258,6.18185708844976e-07,0.6154292225837708,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.004876,0.9700530767440796,0.0049375868402421474,0.025009334087371826,6.044917881808942e-07,0.6154292225837708,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.007267,0.9664457440376282,0.007337566465139389,0.02621668577194214,5.937452556281642e-07,0.6154292225837708,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.010877,0.9611176252365112,0.010873863473534584,0.02800852060317993,5.851893547514919e-07,0.6154292225837708,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.016036,0.9532864689826965,0.016048917546868324,0.03066462278366089,5.782878815807635e-07,0.6154292225837708,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.023356,0.9418805241584778,0.023544685915112495,0.034574806690216064,5.726554377361026e-07,0.6154292225837708,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.03386,0.9254710674285889,0.034248773008584976,0.040280163288116455,5.680115009454312e-07,0.6154292225837708,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.048772,0.9022442698478699,0.0492209829390049,0.04853475093841553,0.17249231040477753,0.6154292225837708,0.6000000000000001,0.16934582934703918,1666.3749923706055,2.4310194496729463e-06
11,0.8966069628508246,0.05828980923589169,0.04510322791328412,0.058575,0.8484839200973511,0.05710512772202492,0.0944109559059143,0.16995693743228912,0.6379572749137878,0.6000000000000001,0.16934582934703918,0,0
12,0.8632034706776296,0.06832161227448358,0.06847491704788715,0.068539,0.8155673742294312,0.06716973334550858,0.11726289987564087,0.16851401329040527,0.6379572749137878,0.6000000000000001,0.16934582934703918,0,0
13,0.8260220854813358,0.07839983719380622,0.09557807732485837,0.078658,0.7788001298904419,0.07725143432617188,0.14394843578338623,0.1710517704486847,0.6379572749137878,0.6000000000000001,0.16934582934703918,0,0
14,0.7857877875585493,0.08789549312517891,0.12631671931627209,0.087951,0.7392111420631409,0.0863029807806015,0.17448586225509644,0.16934379935264587,0.6379572749137878,0.6000000000000001,0.16934582934703918,0,0
15,0.7435233001702761,0.09612682863206937,0.1603498711976548,0.096865,0.6969998478889465,0.10085979104042053,0.20214039087295532,0.2548208236694336,0.6379572749137878,0.6000000000000001,0.25471222889998035,1778.9496941566467,1.9510365934671902e-05
16,0.7021954476124187,0.09411429007775972,0.2036902623098217,0.094326,0.5997316241264343,0.09465575218200684,0.30561262369155884,0.25482890009880066,0.7001361846923828,0.6000000000000001,0.25471222889998035,0,0
17,0.6644025893457997,0.08998001542800586,0.24561739522619466,0.090593,0.5619418621063232,0.08986513316631317,0.3481929898262024,0.25482940673828125,0.7001361846923828,0.6000000000000001,0.25471222889998035,0,0
