Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0.000987,0.9773328304290771,0.0009900446748360991,0.021677136421203613,5.552108177653281e-07,0.6145135164260864,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001433,0.9766004681587219,0.0014784167287871242,0.021921098232269287,5.151209165887849e-07,0.6145135164260864,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.00224,0.9755019545555115,0.0022165742702782154,0.0222814679145813,4.849457013733627e-07,0.6145135164260864,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.003405,0.9738649129867554,0.003307720646262169,0.0228273868560791,4.6173641976565705e-07,0.6145135164260864,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.004876,0.971437394618988,0.004921146668493748,0.023641467094421387,4.4355155637276766e-07,0.6145135164260864,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.007267,0.9678405523300171,0.007310944143682718,0.024848520755767822,4.2907259967250866e-07,0.6145135164260864,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.010877,0.9625250697135925,0.010832240805029869,0.026642680168151855,4.1738204004104773e-07,0.6145135164260864,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.016036,0.9547185897827148,0.01598413661122322,0.029297292232513428,4.078243023286632e-07,0.6145135164260864,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.023356,0.9433503150939941,0.023451227694749832,0.03319847583770752,3.999225270945317e-07,0.6145135164260864,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.03386,0.9269816875457764,0.0341167226433754,0.038901567459106445,3.9332260826085985e-07,0.6145135164260864,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.048772,0.9038137197494507,0.049041494727134705,0.04714477062225342,0.16732105612754822,0.6145135164260864,0.6000000000000001,0.16934582934703918,1717.9740421772003,1.8404877444601979e-06
11,0.8966069628508246,0.05828980923589169,0.04510322791328412,0.058575,0.8323021531105042,0.0561186783015728,0.11157917976379395,0.16935351490974426,0.6472672820091248,0.6000000000000001,0.16934582934703918,0,0
12,0.8632034706776296,0.06832161227448358,0.06847491704788715,0.068539,0.8001275062561035,0.06584049761295319,0.1340320110321045,0.16917498409748077,0.6472672820091248,0.6000000000000001,0.16934582934703918,0,0
13,0.8260220854813358,0.07839983719380622,0.09557807732485837,0.078658,0.7642878890037537,0.07545449584722519,0.16025763750076294,0.1706131249666214,0.6472672820091248,0.6000000000000001,0.16934582934703918,0,0
14,0.7857877875585493,0.08789549312517891,0.12631671931627209,0.087951,0.7257471084594727,0.08427418768405914,0.1899787187576294,0.16630829870700836,0.6472672820091248,0.6000000000000001,0.16934582934703918,0,0
15,0.7435233001702761,0.09612682863206937,0.1603498711976548,0.096865,0.6844173669815063,0.09925681352615356,0.2163258194923401,0.24744339287281036,0.6472672820091248,0.6000000000000001,0.25471222889998035,1772.6531212329865,2.536807448778242e-05
16,0.7021954476124187,0.09411429007775972,0.2036902623098217,0.094326,0.6417131423950195,0.09098348021507263,0.26730334758758545,0.2551189064979553,0.6529633402824402,0.6000000000000001,0.25471222889998035,0,0
17,0.6644025893457997,0.08998001542800586,0.24561739522619466,0.090593,0.6054510474205017,0.0867009088397026,0.3078480362892151,0.25553596019744873,0.6529633402824402,0.6000000000000001,0.25471222889998035,0,0
18,0.6305332770896521,0.08419663327754037,0.2852700896328076,0.084171,0.5733107924461365,0.08075226098299026,0.34593695402145386,0.25548508763313293,0.6529633402824402,0.6000000000000001,0.25471222889998035,0,0
19,0.6006882788616104,0.07729343471913895,0.322018286419251,0.077539,0.5451643466949463,0.07371937483549118,0.38111627101898193,0.2527215778827667,0.6529633402824402,0.6000000000000001,0.25471222889998035,0,0
20,0.5747502042982249,0.06977936041372813,0.35547043528804756,0.070037,0.5201442837715149,0.07303893566131592,0.4068167805671692,0.05655534565448761,0.6529633402824402,0.6000000000000001,0.05309677673224728,1781.1287531852722,5.770836414207642e-05
21,0.5501527664272892,0.07592624687920563,0.37392098669350543,0.075881,0.4961451292037964,0.07769236713647842,0.4261624813079834,0.05359433591365814,0.6509210467338562,0.6000000000000001,0.05309677673224728,0,0
22,0.5247710674745998,0.08138337338766408,0.39384555913773645,0.08129,0.47087377309799194,0.082571841776371,0.44655436277389526,0.053624704480171204,0.6509210467338562,0.6000000000000001,0.05309677673224728,0,0
23,0.4990586262194084,0.08590380294243018,0.41503757083816173,0.086038,0.44563907384872437,0.08635923266410828,0.46800166368484497,0.05393263325095177,0.6509210467338562,0.6000000000000001,0.05309677673224728,0,0
24,0.47347781252624466,0.08928865872007744,0.4372335287536782,0.089122,0.4209287762641907,0.08886699378490448,0.49020421504974365,0.05190082639455795,0.6509210467338562,0.6000000000000001,0.05309677673224728,0,0
25,0.4484651303024498,0.0914070066340985,0.460127863063452,0.091582,0.3969668447971344,0.09209832549095154,0.5109348297119141,0.387808233499527,0.6509210467338562,0.6000000000000001,0.4000000072317514,1674.3503668308258,3.9720373316169745e-05
26,0.4280473965025491,0.06522775332150871,0.5067248501759425,0.065198,0.4084583520889282,0.05937790498137474,0.5321637392044067,0.3987763524055481,0.6264418959617615,0.6000000000000001,0.4000000072317514,0,0
27,0.4141185753853443,0.04607500856874089,0.5398064160459155,0.045917,0.3956628739833832,0.04189795255661011,0.5624392032623291,0.39851877093315125,0.6264418959617615,0.6000000000000001,0.4000000072317514,0,0
28,0.4045866560010118,0.03232054290994721,0.5630928010890419,0.032505,0.3870433568954468,0.029376819729804993,0.5835798382759094,0.3983646631240845,0.6264418959617615,0.6000000000000001,0.4000000072317514,0,0
29,0.3980469935258971,0.022564346080860616,0.5793886603932435,0.022592,0.38104310631752014,0.02052823081612587,0.5984286069869995,0.3964582681655884,0.6264418959617615,0.6000000000000001,0.4000000072317514,0,0
30,0.39355147614469416,0.015701673220467803,0.5907468506348393,0.015689,0.3767189383506775,0.01615174300968647,0.6071293354034424,0.0061930338852107525,0.6264418959617615,0.6000000000000001,-9.81E-09,1875.0988104343414,0.00043175636013179146
31,0.3897955050802896,0.01626109948608345,0.5939433954336283,0.01604,0.35367825627326965,0.016668792814016342,0.6296529769897461,0.002631160896271467,0.6445021033287048,0.6000000000000001,-9.81E-09,0,0
32,0.3859478684494977,0.016802082652265602,0.5972500488982381,0.016952,0.3498592972755432,0.017110297456383705,0.6330304145812988,0.0023347982205450535,0.6445021033287048,0.6000000000000001,-9.81E-09,0,0
33,0.3820166895816785,0.017320590945501993,0.6006627194728207,0.01742,0.34602972865104675,0.017512010410428047,0.6364582777023315,0.002215866930782795,0.6445021033287048,0.6000000000000001,-9.81E-09,0,0
34,0.37801085873870033,0.017812629483967717,0.6041765117773329,0.017733,0.3421776294708252,0.017861414700746536,0.6399609446525574,0.002174068009480834,0.6445021033287048,0.6000000000000001,-9.81E-09,0,0
35,0.37393995639264727,0.018274303933825932,0.6077857396735278,0.018379,0.3382628262042999,0.018209686502814293,0.6435275077819824,0.09007734060287476,0.6445021033287048,0.6000000000000001,0.09278204030343654,2002.758576631546,0.00014927047984206692
36,0.36999946509677806,0.017045385891286336,0.6129551490119367,0.017226,0.34446316957473755,0.016772307455539703,0.638764500617981,0.09266486018896103,0.6394739151000977,0.6000000000000001,0.09278204030343654,0,0
37,0.36636552336587397,0.01586303883124177,0.6177714378028851,0.015877,0.3409176766872406,0.01562734879553318,0.6434550285339355,0.09285756200551987,0.6394739151000977,0.6000000000000001,0.09278204030343654,0,0
38,0.3630192161397511,0.014731837210185113,0.6222489466500647,0.014994,0.3376406729221344,0.014524191617965698,0.6478351354598999,0.09309481829404831,0.6394739151000977,0.6000000000000001,0.09278204030343654,0,0
39,0.3599418751671323,0.013654975552757692,0.626403149280111,0.013866,0.33459123969078064,0.01344343088567257,0.6519653797149658,0.09053531289100647,0.6394739151000977,0.6000000000000001,0.09278204030343654,0,0
40,0.3571152814788405,0.012634444238706518,0.6302502742824538,0.012487,0.3317057490348816,0.01300475187599659,0.6552894711494446,0.003915712237358093,0.6394739151000977,0.6000000000000001,0,0,0
41,0.3543998393276374,0.012805589727125505,0.6327945709452379,0.012823,0.3289172053337097,0.013127033598721027,0.6579557657241821,0.0006104305502958596,0.6394739151000977,0.6000000000000001,0,0,0
