Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,0.8210747838020325,6.599789799111022e-07,0.178924560546875,1.1110382729384582e-06,0.7661464810371399,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.8204203844070435,0.0009235826437361538,0.17865604162216187,1.1271791890976601e-06,0.7661464810371399,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.8193533420562744,0.0020301453769207,0.17861652374267578,1.144669795394293e-06,0.7661464810371399,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.8176866769790649,0.0032288378570228815,0.17908447980880737,1.1631349252638756e-06,0.7661464810371399,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.8151440620422363,0.0049173240549862385,0.17993861436843872,1.182250684905739e-06,0.7661464810371399,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.8113130927085876,0.007445038761943579,0.18124186992645264,1.20173331197293e-06,0.7661464810371399,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.8055753111839294,0.011269728653132915,0.18315494060516357,1.2213519084980362e-06,0.7661464810371399,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.7970091700553894,0.01702519692480564,0.1859656572341919,1.2409191185724922e-06,0.7661464810371399,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.784281313419342,0.02550741657614708,0.19021129608154297,1.2602886272361502e-06,0.7661464810371399,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.7655988335609436,0.03778739646077156,0.19661378860473633,1.2793542509825784e-06,0.7661464810371399,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.7389235496520996,0.05501479282975197,0.20606166124343872,0.18183329701423645,0.7661464810371399,0.6000000000000001,0.18306861082683504,1732.521985054016,0.0017653832120928304
11,0.8968090170620975,0.05749765245213332,0.0456933304857696,0.067,0.8250611424446106,0.060216475278139114,0.1147223711013794,0.1801738739013672,0.6497302055358887,0.6000000000000001,0.18306861082683504,0,0
12,0.8640666378872389,0.06649422699756832,0.06943913511519322,0.073,0.7910436391830444,0.0695270299911499,0.13942933082580566,0.1792173534631729,0.6497302055358887,0.6000000000000001,0.18306861082683504,0,0
13,0.8280571273570395,0.07532646400615957,0.09661640863680132,0.083,0.7538012266159058,0.07866664230823517,0.16753214597702026,0.18202556669712067,0.6497302055358887,0.6000000000000001,0.18306861082683504,0,0
14,0.7895014095881033,0.08344066805619364,0.12705792235570323,0.085,0.7145639061927795,0.08605813980102539,0.19937795400619507,0.18077395856380463,0.6497302055358887,0.6000000000000001,0.18306861082683504,0,0
15,0.74935382988336,0.09026745613582984,0.16037871398081022,0.113,0.6730368733406067,0.10066007822751999,0.22630304098129272,0.2563612163066864,0.6497302055358887,0.6000000000000001,0.2631065347552491,1663.4595334529877,0.0010692474543784658
16,0.710257480308935,0.08800551289781408,0.20173700679325088,0.095,0.6649525165557861,0.10029103606939316,0.2347564697265625,0.25662124156951904,0.6324536204338074,0.6000000000000001,0.2631065347552491,0,0
17,0.6745025869864588,0.08389306762067923,0.241604345392862,0.102,0.6266178488731384,0.09729976952075958,0.2760823965072632,0.2566099464893341,0.6324536204338074,0.6000000000000001,0.2631065347552491,0,0
18,0.6424185565914173,0.07836090078167447,0.2792205426269081,0.077,0.5921579003334045,0.09223300218582153,0.3156090974807739,0.2565242350101471,0.6324536204338074,0.6000000000000001,0.2631065347552491,0,0
