Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,0.8893306255340576,5.78720396049448e-08,0.11066931486129761,6.088536110837595e-07,0.6994491815567017,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.8886922001838684,0.0009234226308763027,0.11038440465927124,6.041004780854564e-07,0.6994491815567017,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.8875313997268677,0.002082660561427474,0.1103859543800354,6.004199804010568e-07,0.6994491815567017,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.8858564496040344,0.0032732533290982246,0.11087030172348022,5.975597900942375e-07,0.6994491815567017,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.8833897709846497,0.004943518433719873,0.111666738986969,5.953328923169465e-07,0.6994491815567017,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.8796866536140442,0.007433377206325531,0.11287999153137207,5.935969511483563e-07,0.6994491815567017,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.8741293549537659,0.011190107092261314,0.11468052864074707,5.922460672991292e-07,0.6994491815567017,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.8658453822135925,0.016807515174150467,0.1173471212387085,5.91197022004053e-07,0.6994491815567017,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.8535955548286438,0.025066854432225227,0.12133759260177612,5.903845590182755e-07,0.6994491815567017,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.8356966376304626,0.036993786692619324,0.12730956077575684,5.897610435567913e-07,0.6994491815567017,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.8101236820220947,0.05379651486873627,0.1360797882080078,0.1832042783498764,0.6994491815567017,0.6000000000000001,0.18306861082683504,1694.5904726982117,0.001749237319679378
11,0.8968090170620975,0.05749765245213332,0.0456933304857696,0.067,0.5449014902114868,0.06754303723573685,0.38755548000335693,0.18321828544139862,1.0901763439178467,0.6000000000000001,0.18306861082683504,0,0
12,0.8640666378872389,0.06649422699756832,0.06943913511519322,0.073,0.5072729587554932,0.07653595507144928,0.41619110107421875,0.1832183301448822,1.0901763439178467,0.6000000000000001,0.18306861082683504,0,0
13,0.8280571273570395,0.07532646400615957,0.09661640863680132,0.083,0.4665660262107849,0.08150962740182877,0.45192432403564453,0.18321837484836578,1.0901763439178467,0.6000000000000001,0.18306861082683504,0,0
14,0.7895014095881033,0.08344066805619364,0.12705792235570323,0.085,0.42434948682785034,0.08783341199159622,0.48781710863113403,0.18321767449378967,1.0901763439178467,0.6000000000000001,0.18306861082683504,0,0
15,0.74935382988336,0.09026745613582984,0.16037871398081022,0.113,0.3813869059085846,0.11382264643907547,0.5047904253005981,0.24804706871509552,1.0901763439178467,0.6000000000000001,0.2631065347552491,1748.7396595478058,3.5991936974686804e-06
16,0.710257480308935,0.08800551289781408,0.20173700679325088,0.095,0.6436247229576111,0.09101653099060059,0.26535874605178833,0.26346853375434875,0.6484552025794983,0.6000000000000001,0.2631065347552491,0,0
17,0.6745025869864588,0.08389306762067923,0.241604345392862,0.102,0.6079269051551819,0.0857706144452095,0.3063024878501892,0.2636747360229492,0.6484552025794983,0.6000000000000001,0.2631065347552491,0,0
18,0.6424185565914173,0.07836090078167447,0.2792205426269081,0.077,0.5764912962913513,0.07904524356126785,0.3444634675979614,0.26445847749710083,0.6484552025794983,0.6000000000000001,0.2631065347552491,0,0
19,0.614084303248893,0.07187892002905633,0.3140367767220507,0.079,0.5492041110992432,0.07131273299455643,0.379483163356781,0.26136094331741333,0.6484552025794983,0.6000000000000001,0.2631065347552491,0,0
20,0.5893885751569602,0.06489309615478793,0.345718328688252,0.073,0.5250833630561829,0.07122496515512466,0.4036916494369507,0.03886399790644646,0.6484552025794983,0.6000000000000001,0.038828027440349216,1669.4354770183563,0.000932177204626292
21,0.5656218598848718,0.07227624240098285,0.3621018977141455,0.071,0.3965966999530792,0.07412397861480713,0.529279351234436,0.038833774626255035,0.7629005312919617,0.6000000000000001,0.038828027440349216,0,0
22,0.5404601881678766,0.07932488490310184,0.38021492692902153,0.076,0.3738763630390167,0.07739581167697906,0.5487278699874878,0.038823433220386505,0.7629005312919617,0.6000000000000001,0.038828027440349216,0,0
23,0.5143298368679018,0.08572955162982215,0.39994061150227633,0.09,0.3512687683105469,0.08286034315824509,0.5658708810806274,0.03883754089474678,0.7629005312919617,0.6000000000000001,0.038828027440349216,0,0
24,0.4877162188479484,0.09119453513103344,0.4210892460210181,0.086,0.3286420702934265,0.0904722735285759,0.580885648727417,0.038904182612895966,0.7629005312919617,0.6000000000000001,0.038828027440349216,0,0
25,0.46112527916070056,0.0954694078004307,0.44340531303886865,0.101,0.30706557631492615,0.10014287382364273,0.5927915573120117,0.4013075530529022,0.7629005312919617,0.6000000000000001,0.4000000095486332,1662.4214220046997,0.0006563422539210479
