Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,5.520223203347996e-05,0.012762857601046562,0.9871819615364075,0.00018446944886818528,0.9567073583602905,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,5.460916509036906e-05,0.010452703572809696,0.9894927144050598,0.00014306085358839482,0.9567073583602905,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,5.411791426013224e-05,0.008574992418289185,0.9913709163665771,0.00011524790897965431,0.9567073583602905,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,5.3712712542619556e-05,0.007046481594443321,0.9928998351097107,9.58986347541213e-05,0.9567073583602905,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,5.3379986638901755e-05,0.005800656508654356,0.994145929813385,8.201586024370044e-05,0.9567073583602905,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,5.310773485689424e-05,0.004784388467669487,0.9951624870300293,7.178314990596846e-05,0.9567073583602905,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,5.2885818149661645e-05,0.003955092281103134,0.9959920644760132,6.406122702173889e-05,0.9567073583602905,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,5.27054799022153e-05,0.003278487827628851,0.996668815612793,5.811298979097046e-05,0.9567073583602905,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,5.255926589597948e-05,0.0027268207632005215,0.9972206354141235,5.3447885875357315e-05,0.9567073583602905,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,5.244081330602057e-05,0.002277470426633954,0.99767005443573,4.9731035687727854e-05,0.9567073583602905,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,5.234493437455967e-05,0.0019118794007226825,0.9980357885360718,0.12038607150316238,0.9567073583602905,0.6000000000000001,0.12194752160275435,1709.89200091362,4.968138733079453e-08
11,0.8958948703121119,0.061110675001516575,0.04299445468637161,0.07,0.8433685302734375,0.06602691113948822,0.09060454368591309,0.12061168253421783,0.6442206501960754,0.6000000000000001,0.12194752160275435,0,0
12,0.8601027611456559,0.07502580049475364,0.06487143835959064,0.082,0.803985595703125,0.0815177857875824,0.11449658870697021,0.1205119639635086,0.6442206501960754,0.6000000000000001,0.12194752160275435,0,0
13,0.8185862775630617,0.08999606370461102,0.09141765873232738,0.099,0.7585356831550598,0.09790763258934021,0.1435566544532776,0.12190397828817368,0.6442206501960754,0.6000000000000001,0.12194752160275435,0,0
14,0.7720284404796178,0.10513321900243826,0.12283834051794405,0.107,0.7082008123397827,0.11365735530853271,0.17814183235168457,0.1200835183262825,0.6442206501960754,0.6000000000000001,0.12194752160275435,0,0
15,0.7217036433236241,0.1192889302333575,0.15900742644301835,0.145,0.6535983085632324,0.13667602837085724,0.20972567796707153,0.35478758811950684,0.6442206501960754,0.6000000000000001,0.4000000099820904,1747.9449229240417,2.8029221961165412e-05
16,0.6758722591484502,0.0995097910203711,0.22461794983117866,0.106,0.9555253386497498,1.7487254311276956e-08,0.044474661350250244,0.4203531742095947,0.863733172416687,0.6000000000000001,0.4000000099820904,0,0
17,0.6403022860556794,0.08101603408480888,0.2786816798595119,0.099,0.9555267095565796,1.7389135464895844e-08,0.04447329044342041,0.43004605174064636,0.863733172416687,0.6000000000000001,0.4000000099820904,0,0
18,0.6129840280955775,0.06473276229677247,0.32228320960765033,0.064,0.9555292129516602,1.729958398755116e-08,0.044470787048339844,0.4164240062236786,0.863733172416687,0.6000000000000001,0.4000000099820904,0,0
19,0.5921451132323422,0.05098451476289647,0.35687037200476174,0.057,0.9555334448814392,1.721771702989372e-08,0.04446655511856079,0.3188834488391876,0.863733172416687,0.6000000000000001,0.4000000099820904,0,0
20,0.576318038841987,0.03971950912324189,0.3839624520347716,0.046,0.9555395841598511,1.7142742336773154e-08,0.044460415840148926,0.03353411331772804,0.863733172416687,0.6000000000000001,-9.98E-09,1762.3007690906525,1.412899969282834e-11
21,0.5617409293960371,0.045756977942356954,0.3925020926616065,0.045,0.9719330668449402,1.4773062773087986e-08,0.028066933155059814,0.007081915158778429,0.9066411256790161,0.6000000000000001,-9.98E-09,0,0
22,0.5454791439824804,0.05222669318230871,0.4022941628352113,0.05,0.9719325304031372,1.4691938332589416e-08,0.028067469596862793,0.005098681431263685,0.9066411256790161,0.6000000000000001,-9.98E-09,0,0
23,0.5275834782938026,0.05900320066421228,0.4134133210419856,0.063,0.9719316959381104,1.4617977939224147e-08,0.02806830406188965,0.004812316503375769,0.9066411256790161,0.6000000000000001,-9.98E-09,0,0
24,0.508178668233422,0.06591667411130554,0.425904657655273,0.061,0.9719305038452148,1.455043729947647e-08,0.028069496154785156,0.00491972966119647,0.9066411256790161,0.6000000000000001,-9.98E-09,0,0
25,0.4874663522375315,0.07275838502478557,0.4397752627376833,0.078,0.9719289541244507,1.4488735544659903e-08,0.028071045875549316,0.006966222543269396,0.9066411256790161,0.6000000000000001,0.019294145725755517,1763.1990025043488,7.382489715239726e-11
26,0.4659263965281619,0.07778052606254687,0.4562930774092916,0.077,0.9227634072303772,1.9188563626926225e-08,0.0772365927696228,0.00625746650621295,0.8586588501930237,0.6000000000000001,0.019294145725755517,0,0
27,0.4440915537427989,0.08207296227889686,0.4738354839783045,0.075,0.9227639436721802,1.9177878840537232e-08,0.07723605632781982,0.005788914859294891,0.8586588501930237,0.6000000000000001,0.019294145725755517,0,0
28,0.4223010578685262,0.0854748173964138,0.4922241247350604,0.095,0.9227638244628906,1.916870040474805e-08,0.07723617553710938,0.005463022273033857,0.8586588501930237,0.6000000000000001,0.019294145725755517,0,0
29,0.4008801965935417,0.08786977665400998,0.5112500267524487,0.09,0.9227631092071533,1.916091463272096e-08,0.07723689079284668,0.005227053537964821,0.8586588501930237,0.6000000000000001,0.019294145725755517,0,0
30,0.38012077271493205,0.08919477394633897,0.5306844533387296,0.088,0.9227617383003235,1.915433678334466e-08,0.07723826169967651,0.028537753969430923,0.8586588501930237,0.6000000000000001,0.04771982914501092,2197.197108745575,3.392109296068211e-11
