Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,0.9859727025032043,0.0012901324080303311,0.012737154960632324,1.9490314571157796e-06,0.5806220769882202,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.985080897808075,0.0018716449849307537,0.013047456741333008,1.2705851304417592e-06,0.5806220769882202,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.983787477016449,0.002713350113481283,0.013499200344085693,9.237538165507431e-07,0.5806220769882202,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.9819145798683167,0.003929088823497295,0.014156341552734375,7.26613450297009e-07,0.5806220769882202,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.9792090058326721,0.005683823488652706,0.015107154846191406,6.051199079593061e-07,0.5806220769882202,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.9753103256225586,0.00820789486169815,0.016481757164001465,5.25410030149942e-07,0.5806220769882202,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.969713032245636,0.011823678389191628,0.018463313579559326,4.7047214479789545e-07,0.5806220769882202,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.9617233276367188,0.016967523843050003,0.02130913734436035,4.3108482827847183e-07,0.5806220769882202,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.9504103660583496,0.02421405352652073,0.0253756046295166,4.019241259811679e-07,0.5806220769882202,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.9345647096633911,0.03428391367197037,0.03115135431289673,3.797546526129736e-07,0.5806220769882202,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.9127063155174255,0.04801349714398384,0.03928017616271973,0.12140733003616333,0.5806220769882202,0.6000000000000001,0.12194752160275435,1708.485228061676,3.914439428024803e-06
11,0.8958948703121119,0.061110675001516575,0.04299445468637161,0.07,0.8418750166893005,0.06491918116807938,0.09320580959320068,0.1215476244688034,0.6608245968818665,0.6000000000000001,0.12194752160275435,0,0
12,0.8601027611456559,0.07502580049475364,0.06487143835959064,0.082,0.8023838400840759,0.08113035559654236,0.11648577451705933,0.12039582431316376,0.6608245968818665,0.6000000000000001,0.12194752160275435,0,0
13,0.8185862775630617,0.08999606370461102,0.09141765873232738,0.099,0.7562131881713867,0.09853465110063553,0.14525216817855835,0.12224481254816055,0.6608245968818665,0.6000000000000001,0.12194752160275435,0,0
14,0.7720284404796178,0.10513321900243826,0.12283834051794405,0.107,0.7046915888786316,0.11530662328004837,0.18000179529190063,0.12063629925251007,0.6608245968818665,0.6000000000000001,0.12194752160275435,0,0
15,0.7217036433236241,0.1192889302333575,0.15900742644301835,0.145,0.6485231518745422,0.1391271948814392,0.21234965324401855,0.3996705114841461,0.6608245968818665,0.6000000000000001,0.4000000099820904,1749.6086285114288,3.140530116527218e-05
16,0.6758722591484502,0.0995097910203711,0.22461794983117866,0.106,0.6144139766693115,0.10451346635818481,0.28107255697250366,0.3996754586696625,0.6743283271789551,0.6000000000000001,0.4000000099820904,0,0
17,0.6403022860556794,0.08101603408480888,0.2786816798595119,0.099,0.5721122622489929,0.09680940955877304,0.33107835054397583,0.399681955575943,0.6743283271789551,0.6000000000000001,0.4000000099820904,0,0
18,0.6129840280955775,0.06473276229677247,0.32228320960765033,0.064,0.5435141324996948,0.06294164806604385,0.39354419708251953,0.39968934655189514,0.6743283271789551,0.6000000000000001,0.4000000099820904,0,0
19,0.5921451132323422,0.05098451476289647,0.35687037200476174,0.057,0.5214664340019226,0.05487682670354843,0.42365676164627075,0.39920035004615784,0.6743283271789551,0.6000000000000001,0.4000000099820904,0,0
20,0.576318038841987,0.03971950912324189,0.3839624520347716,0.046,0.5056298971176147,0.04490365833044052,0.4494664669036865,0.06404553353786469,0.6743283271789551,0.6000000000000001,-9.98E-09,1759.0291166305542,2.165134480605119e-05
21,0.5617409293960371,0.045756977942356954,0.3925020926616065,0.045,0.9260632395744324,1.8460958983723685e-08,0.07393676042556763,0.013993266969919205,0.8643208742141724,0.6000000000000001,-9.98E-09,0,0
22,0.5454791439824804,0.05222669318230871,0.4022941628352113,0.05,0.9260676503181458,1.8421424385905993e-08,0.07393234968185425,0.00832935981452465,0.8643208742141724,0.6000000000000001,-9.98E-09,0,0
23,0.5275834782938026,0.05900320066421228,0.4134133210419856,0.063,0.926072895526886,1.8387092737270905e-08,0.07392710447311401,0.006986561696976423,0.8643208742141724,0.6000000000000001,-9.98E-09,0,0
24,0.508178668233422,0.06591667411130554,0.425904657655273,0.061,0.9260788559913635,1.8357482645114942e-08,0.07392114400863647,0.006617761682718992,0.8643208742141724,0.6000000000000001,-9.98E-09,0,0
25,0.4874663522375315,0.07275838502478557,0.4397752627376833,0.078,0.9260855913162231,1.833225482528178e-08,0.07391440868377686,0.004844115115702152,0.8643208742141724,0.6000000000000001,0.019294145725755517,1757.7823657989502,1.5871467593786852e-11
26,0.4659263965281619,0.07778052606254687,0.4562930774092916,0.077,0.41740715503692627,0.07713256031274796,0.505460262298584,0.01696058362722397,0.6261721849441528,0.6000000000000001,0.019294145725755517,0,0
27,0.4440915537427989,0.08207296227889686,0.4738354839783045,0.075,0.39723679423332214,0.07702521979808807,0.525738000869751,0.016206413507461548,0.6261721849441528,0.6000000000000001,0.019294145725755517,0,0
28,0.4223010578685262,0.0854748173964138,0.4922241247350604,0.095,0.37576016783714294,0.09194206446409225,0.5322977304458618,0.01427880022674799,0.6261721849441528,0.6000000000000001,0.019294145725755517,0,0
29,0.4008801965935417,0.08786977665400998,0.5112500267524487,0.09,0.3541942536830902,0.09204995632171631,0.5537557601928711,0.013695848174393177,0.6261721849441528,0.6000000000000001,0.019294145725755517,0,0
30,0.38012077271493205,0.08919477394633897,0.5306844533387296,0.088,0.3343464434146881,0.09201600402593613,0.5736376047134399,0.03803163021802902,0.6261721849441528,0.6000000000000001,0.04771982914501092,2382.8955931663513,0.050119156827390696
31,0.360538792882684,0.08694046309470535,0.5525207440226114,0.071,0.32895079255104065,0.08342906087636948,0.5876201391220093,0.045697905123233795,0.6246311664581299,0.6000000000000001,0.04771982914501092,0,0
32,0.3425231814664005,0.08379243821484601,0.5736843803187544,0.091,0.31258198618888855,0.07955016195774078,0.6078678369522095,0.04878178611397743,0.6246311664581299,0.6000000000000001,0.04771982914501092,0,0
33,0.3260960340775949,0.0799282465548969,0.593975719367509,0.074,0.2977951765060425,0.07510658353567123,0.6270982623100281,0.04470158368349075,0.6246311664581299,0.6000000000000001,0.04771982914501092,0,0
34,0.3112300251702535,0.07553002561417242,0.613239949215575,0.082,0.28445112705230713,0.07082991302013397,0.6447189450263977,0.03548420965671539,0.6246311664581299,0.6000000000000001,0.04771982914501092,0,0
35,0.2978612731411925,0.07077208821874752,0.6313666386400607,0.062,0.27237918972969055,0.06720031052827835,0.6604205369949341,0.3972744345664978,0.6246311664581299,0.6000000000000001,0.40000000966305516,1646.8082797527313,0.0001590373273899307
36,0.2877264255112277,0.04628923219173074,0.6659843422970423,0.056,0.992431641,2.6118627260984795e-08,0.007568359,0.4009677469730377,0.6422815918922424,0.6000000000000001,0.40000000966305516,0,0
37,0.28130049517534644,0.03012854073738329,0.6885709640872715,0.031,0.9924317002296448,2.6164649113979976e-08,0.007568299770355225,0.39685124158859253,0.6422815918922424,0.6000000000000001,0.40000000966305516,0,0
38,0.2772016588427765,0.019549162793633418,0.7032491783635912,0.029,0.992431641,2.621460204466075e-08,0.007568359,0.40425047278404236,0.6422815918922424,0.6000000000000001,0.40000000966305516,0,0
39,0.27457669670840934,0.012659504977730978,0.7127637983138609,0.019,0.9924314618110657,2.626835815533468e-08,0.007568538188934326,0.3977120518684387,0.6422815918922424,0.6000000000000001,0.40000000966305516,0,0
40,0.2728911899542716,0.0081875308572802,0.7189212791884494,0.005,0.9924311637878418,2.6325889024292337e-08,0.007568836212158203,0.011381253600120544,0.6422815918922424,0.6000000000000001,0,0,0
41,0.2715779509157602,0.007892802091364729,0.7205292469928762,0.005,0.9924308061599731,2.6387118268189624e-08,0.0075691938400268555,0.0020635093096643686,0.6422815918922424,0.6000000000000001,0,0,0
42,0.2703184522238362,0.00760281251979868,0.7220787352563661,0.006,0.9924302697181702,2.645202279438763e-08,0.007569730281829834,0.0015684441896155477,0.6422815918922424,0.6000000000000001,0,0,0
43,0.2691111975420411,0.007318059945097508,0.7235707425128625,0.011,0.9924296140670776,2.6520575957533765e-08,0.007570385932922363,0.0014613729435950518,0.6422815918922424,0.6000000000000001,0,0,0
44,0.26795466043081695,0.007038979051970896,0.7250063605172133,0.003,0.9924288392066956,2.6592706703354452e-08,0.007571160793304443,0.0014251847751438618,0.6422815918922424,0.6000000000000001,0,0,0
45,0.26684729365633325,0.00676594442736546,0.7263867619163024,0.008,0.9924278855323792,2.6668489638836945e-08,0.00757211446762085,0.0014111398486420512,0.6422815918922424,0.6000000000000001,0,0,0
46,0.26578753764906443,0.006499273803495924,0.7277131885474408,0.004,0.9924266934394836,2.6747805748073006e-08,0.007573306560516357,0.001406542374752462,0.6422815918922424,0.6000000000000001,0,0,0
47,0.2647738281421981,0.006239231455678857,0.7289869404021244,0.011,0.9924253821372986,2.6830736743477246e-08,0.007574617862701416,0.0014069759054109454,0.6422815918922424,0.6000000000000001,0,0,0
48,0.2638046030252701,0.005986031694598799,0.7302093652801324,0.008,0.9924238920211792,2.6917259532410753e-08,0.007576107978820801,0.0014105647569522262,0.6422815918922424,0.6000000000000001,0,0,0
49,0.26287830845237364,0.005739842400139475,0.7313818491474882,0.008,0.9924221634864807,2.7007411418367155e-08,0.007577836513519287,0.0014163730666041374,0.6422815918922424,0.6000000000000001,0,0,0
50,0.26199340424702755,0.005500788551080909,0.7325058072018927,0.01,0.9924202561378479,2.7101119570716037e-08,0.0075797438621521,0.0014238646253943443,0.6422815918922424,0.6000000000000001,0,1667.8116147518158,1.1457211194755214e-08
