Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,0.9847447872161865,0.0012994646094739437,0.013955771923065186,1.7325641010756954e-06,0.5814694166183472,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.9838420152664185,0.0018856675596907735,0.014272332191467285,1.3075691640551668e-06,0.5814694166183472,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.9825332760810852,0.0027345966082066298,0.014732122421264648,1.0587243650661549e-06,0.5814694166183472,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.9806391596794128,0.003962475340813398,0.015398383140563965,9.016969784170215e-07,0.5814694166183472,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.9779036641120911,0.005735152401030064,0.01636117696762085,7.966872317410889e-07,0.5814694166183472,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.9739637970924377,0.008283858187496662,0.017752349376678467,7.231707286337041e-07,0.5814694166183472,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.968309760093689,0.01193172950297594,0.019758522510528564,6.697746925965475e-07,0.5814694166183472,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.9602389931678772,0.017116239294409752,0.022644758224487305,6.298098469414981e-07,0.5814694166183472,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.9488088488578796,0.024415137246251106,0.026776015758514404,5.991478246869519e-07,0.5814694166183472,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.9328016042709351,0.03455302491784096,0.032645344734191895,5.751281264565478e-07,0.5814694166183472,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.9107272624969482,0.048370588570833206,0.040902137756347656,0.12304544448852539,0.5814694166183472,0.6000000000000001,0.12194752160275435,1714.4558403491974,3.7954238266741158e-06
11,0.8958948703121119,0.061110675001516575,0.04299445468637161,0.07,0.846366822719574,0.07076854258775711,0.08286464214324951,0.12310240417718887,0.6561076641082764,0.6000000000000001,0.12194752160275435,0,0
12,0.8601027611456559,0.07502580049475364,0.06487143835959064,0.082,0.8056566715240479,0.08461281657218933,0.10973048210144043,0.12310309708118439,0.6561076641082764,0.6000000000000001,0.12194752160275435,0,0
